doi,number,study,author,year,title,relevant ,responses ,country,format ,extracted ,
10.1016/j.scitotenv.2017.08.084,765,1,"Beermann, Arne J.",2018,"Multiple-stressor effects on stream macroinvertebrate communities: A mesocosm experiment manipulating salinity, fine sediment and flow velocity",Y,15 of 15,Germany,table,Y,"may need to aggregate up to family or order, but have extracted at species level "
10.1002/eap.1637,769,1,"Chara-Serna, Ana M.",2018,Chlorpyrifos interacts with other agricultural stressors to alter stream communities in laboratory microcosms,Y,"20 leaf sp, 30 gravel sp",Canada,table,Y,
,809,1,"Graeber, Daniel",2017,Multiple stress response of lowland stream benthic macroinvertebrates depends on habitat type,Y,~50,Denmark,table,Y,
10.1016/j.scitotenv.2017.03.083,877,1,"Lawes, Jasmin C.",2017,Multiple stressors in sediments impact adjacent hard substrate habitats and across biological domains,Y,8 of 8 ,Australia,figure,Y,
10.1051/kmae/2017041,1042,1,"Baekkelie, Knut Andreas E.",2017,Effects of flow events and nutrient addition on stream periphyton and macroinvertebrates: an experimental study using flumes,Y,17 of 17,Norway,BOTH,Y,
10.3354/meps11935,1062,1,"Kenworthy, Joseph M.",2016,Response of benthic assemblages to multiple stressors: comparative effects of nutrient enrichment and physical disturbance,Y,6 of 66,Australia,figure,Y,
10.1890/15-1841.1,1117,1,"Mustonen, Kaisa-Riika",2016,Sediments and flow have mainly independent effects on multitrophic stream communities and ecosystem functions,Y,6 of 6,Finland,figure,Y,
10.1016/j.foreco.2016.06.023,1127,1,"Greenberg, Cathryn H.",2016,Reptile and amphibian response to oak regeneration treatments in productive southern Appalachian hardwood forest,Y,6 of 6,USA,figure,Y,
10.1016/j.jembe.2016.03.007,1192,1,"Blake, Rachael E.",2016,Influence of environmental stressors and grazer immigration on ecosystem properties of an experimental eelgrass community,Y,5 of 5 or 10 0f 10,USA,figure,Y,
10.7717/peerj.1985,1211,1,"Mayer-Pinto, Mariana",2016,The interplay between habitat structure and chemical contaminants on biotic responses of benthic organisms,Y,100 +,Australia,table,Y,
10.1111/fwb.12713,1234,1,"Elbrecht, Vasco",2016,"Multiple-stressor effects on stream invertebrates: a mesocosm experiment manipulating nutrients, fine sediment and flow velocity",Y,8 of 8,Germany,figure,Y,
10.1016/j.marpolbul.2015.11.040,1295,1,"Lawes, Jasmin C.",2016,Contaminant cocktails: Interactive effects of fertiliser and copper paint on marine invertebrate recruitment and mortality,Y,10 of 10 ,Australia,figure_complextoextract,Y,
10.1371/journal.pone.0145191,1334,1,"Sorte, Cascade J. B.",2015,Warming and Elevated CO2 Interact to Drive Rapid Shifts in Marine Community Production,Y,50 of 50 ,USA,table,Y,
10.1111/gcb.13019,1369,1,"McElroy, David J.",2015,Size-balanced community reorganization in response to nutrients and warming,Y,15 of 15,UK,table,Y,
10.1128/AEM.01443-15,1376,1,"Steven, Blaire",2015,Climate Change and Physical Disturbance Manipulations Result in Distinct Biological Soil Crust Communities,Y,37 of 37,USA,table,Y,
10.1890/14-0577.1,1486,1,"Mrowicki, Robert J.",2015,Wave action modifies the effects of consumer diversity and warming on algal assemblages,Y,6 of 6,UK,table,Y,
10.1016/j.marpolbul.2014.12.003,1512,1,"Saloni, Silvia",2015,Impacts of multiple stressors during the establishment of fouling assemblages,Y,9 of 9,Ireland,figure,Y,
10.1016/j.envpol.2014.02.007,1683,1,"Hua, Jessica",2014,Chemical cocktails in aquatic systems: Pesticide effects on the response and recovery of > 20 animal taxa,Y,10 of 10 ,USA,figure,Y,
10.1111/1365-2745.12233,1701,1,"Campbell, Justin E.",2014,Ocean acidification outweighs nutrient effects in structuring seagrass epiphyte communities,Y,5 of 5 ,USA,figure,Y,
10.1007/s10646-013-1096-3,1862,1,"Alexander, Alexa C.",2013,Can nutrients mask community responses to insecticide mixtures?,Y,5 of 5 ,Canada,figure,Y,
10.1016/j.biortech.2012.11.043,1967,1,"Roleda, Michael Y.",2013,Effects of temperature and nutrient regimes on biomass and lipid production by six oleaginous microalgae in batch culture employing a two-phase cultivation strategy,Y,6 of 6,UK,table,Y ,
10.1016/j.aquatox.2012.09.003,1970,1,"Stampfli, Nathalie C.",2013,Two stressors and a community - Effects of hydrological disturbance and a toxicant on freshwater zooplankton,Y ,11 of 11,Germany,figure,Y,
10.3354/meps10357,1996,1,"Alsterberg, Christian",2013,Experimental warming and toxicant exposure can result in antagonistic effects in a shallow-water sediment system,Y,5 of 5 ,Sweden,figure,Y,
10.1371/journal.pone.0049873,2036,1,"Piggott, Jeremy J.",2012,"Multiple Stressors in Agricultural Streams: A Mesocosm Study of Interactions among Raised Water Temperature, Sediment Addition and Nutrient Enrichment",Y,10 of 10 ,New Zealand,figure,Y,
10.1016/j.foreco.2012.02.012,2117,1,"Raybuck, Amy L.",2012,Short-term response of small mammals following oak regeneration silviculture treatments,Y,6 of 6 ,USA,BOTH,Y,
10.3732/ajb.1100417,2156,1,"Drenovsky, Rebecca E.",2012,TRAIT CONVERGENCE AND PLASTICITY AMONG NATIVE AND INVASIVE SPECIES IN RESOURCE-POOR ENVIRONMENTS,Y,6 of 6,USA,figure,Y,
10.1111/j.1526-100X.2009.00575.x,2335,1,"Williamson, Julie C.",2011,Alleviation of Both Water and Nutrient Limitations is Necessary to Accelerate Ecological Restoration of Waste Rock Tips,Y,5 of 6,UK,BOTH,Y,
10.1111/j.1600-0706.2010.18419.x,2423,1,"Blake, Rachael E.",2010,Grazer diversity affects resistance to multiple stressors in an experimental seagrass ecosystem,Y,5 of 5,USA,figure,Y,
10.1111/j.1365-2664.2010.01809.x,2461,1,"Matthaei, Christoph D.",2010,"Multiple stressors in agricultural streams: interactions among sediment addition, nutrient enrichment and water abstraction",Y,9 of 9,New Zealand,figure,Y,
10.1016/j.jembe.2010.03.007,2468,1,"Sundback, Kristina",2010,Effects of multiple stressors on marine shallow-water sediments: Response of microalgae and meiofauna to nutrient-toxicant exposure,Y,7 of 7 ,Sweden,figure,Y,
10.1016/j.jembe.2010.03.005,2469,1,"Atalah, Javier",2010,"Combined effects of nutrient enrichment, sedimentation and grazer loss on rock pool assemblages",Y,6 of 6 ,Ireland,figure,Y,
10.3354/meps08729,2532,1,"Bertocci, Iacopo",2010,Canopy-forming species mediate the effects of disturbance on macroalgal assemblages on Portuguese rocky shores,Y,7 of 15,Portugal,figure,Y,
10.3354/meps08729,2532,2,"Bertocci, Iacopo",2010,Canopy-forming species mediate the effects of disturbance on macroalgal assemblages on Portuguese rocky shores,Y,7 of 15,Portugal,figure,Y,
10.3354/meps08457,2533,1,"Fukunaga, Atsuko",2010,Individual and combined effects of heavy metals on estuarine infaunal communities,Y,10 of 31,New Zealand,figure,Y,
10.1111/j.1365-2745.2009.01489.x,2599,1,"Peay, Kabir G.",2009,Spore heat resistance plays an important role in disturbance-mediated assemblage shift of ectomycorrhizal fungi colonizing Pinus muricata seedlings,Y,21 of 21,USA,table,Y ,
10.1603/029.102.0137,2629,1,"Gent, D. H.",2009,"Effects of Powdery Mildew Fungicide Programs on Twospotted Spider Mite (Acari: Tetranychidae), Hop Aphid (Hemiptera: Aphididae), and Their Natural Enemies in Hop Yards",Y,7 of 7,USA,table,Y ,
10.1071/MF08179,2644,1,"Riddle, Cale J.",2009,The effect of repeated stressor episodes on algal communities in pasture streams,Y,5 of 5,New Zealand,figure,Y,
10.1657/1523-0430(06-105)[THOMPSON]2.0.CO;2,2727,1,"Thompson, Patrick L.",2008,Impacts of climate warming and nitrogen deposition on alpine plankton in lake and pond habitats: an in vitro experiment,Y,6 of 6,Canada,figure,Y,
10.1016/j.foreco.2007.07.032,2733,1,"Campbell, Joshua W.",2008,"Effects of prescribed fire and other plant community restoration treatments on tree mortality, bark beetles, and other saproxylic Coleoptera of longleaf pine, Pinus palustris Mill., on the Coastal Plain of Alabama",Y,21 of 21,USA,BOTH,Y,
10.18474/0749-8004-43.1.57,2743,1,"Campbell, Joshua W.",2008,Effects of prescribed fire and fire surrogates on saproxylic Coleoptera in the Southern Appalachians of North Carolina,Y,20 of 20,USA,table,Y,
10.3354/ame048277,2774,1,"Larson, Fredrik",2007,Combined effects of an antifouling biocide and nutrient status on a shallow-water microbenthic community,Y,12 of 12,Sweden,figure,Y,
10.1007/s11258-006-9190-8,2792,1,"Allison, Victoria J.",2007,Quantifying direct and indirect effects of fungicide on an old-field plant community: an experimental null-community approach,Y,7 of 7 ,USA,figure,Y,
10.1890/0012-9658(2006)87[1225:CAIEGS]2.0.CO;2,2869,1,"Ejrnaes, Rasmus",2006,Community assembly in experimental Grasslands: Suitable environment or timely arrival?,Y ,7 of 48,Denmark,table,Y,
10.1007/s10646-006-0058-4,2877,1,"Roessink, I.",2006,Impact of triphenyltin acetate in microcosms simulating floodplain lakes. I. Influence of sediment quality,Y,15 of 260,Netherlands,figure,Y,
10.1007/BF02695974,3054,1,Bundy MH,2003,The responses of Patuxent River upper trophic levels to nutrient and trace element induced changes in the lower food web,Y,8 of 8,USA,table,Y,
10.3354/meps261063,3063,1,"Lenihan, HS",2003,Variation in marine benthic community composition allows discrimination of multiple stressors,Y,11 of ?,Antarctica,table,Y,
10.2307/2404698,3231,1,"Feber, RE",1996,The effects on butterfly abundance of the management of uncropped edges of arable fields,Y,10 of 25,UK,table,Y,
